groupNo,order,checkpointId,verifyType,keyword
1,1,D5,photo,
1,2,B3,referee,
1,3,B4,referee,
1,4,D6,referee,
1,5,A3,keyword,A3
1,6,C5,photo,
1,7,A5,keyword,A5
1,8,C4,referee,
1,9,E2,video,
1,10,A2,photo,
1,11,E3,video,
1,12,B6,photo,
2,1,E2,video,
2,2,C4,referee,
2,3,A5,keyword,A5
2,4,A3,keyword,A3
2,5,D6,referee,
2,6,C5,photo,
2,7,B4,referee,
2,8,B3,referee,
2,9,D5,photo,
2,10,A2,photo,
2,11,E3,video,
2,12,B6,photo,
3,1,B3,referee,
3,2,D5,photo,
3,3,B4,referee,
3,4,D6,referee,
3,5,E2,video,
3,6,A3,keyword,A3
3,7,C5,photo,
3,8,A5,keyword,A5
3,9,C4,referee,
3,10,A2,photo,
3,11,E3,video,
3,12,B6,photo,
4,1,D5,photo,
4,2,C4,referee,
4,3,A5,keyword,A5
4,4,A3,keyword,A3
4,5,C5,photo,
4,6,D6,referee,
4,7,E2,video,
4,8,B4,referee,
4,9,B3,referee,
4,10,A2,photo,
4,11,E3,video,
4,12,B6,photo,
5,1,B3,referee,
5,2,B4,referee,
5,3,C5,photo,
5,4,D6,referee,
5,5,A3,keyword,A3
5,6,E2,video,
5,7,A5,keyword,A5
5,8,C4,referee,
5,9,A2,photo,
5,10,D5,photo,
5,11,E3,video,
5,12,B6,photo,
6,1,C5,photo,
6,2,C4,referee,
6,3,A5,keyword,A5
6,4,E2,video,
6,5,A3,keyword,A3
6,6,D6,referee,
6,7,B4,referee,
6,8,D5,photo,
6,9,B3,referee,
6,10,A2,photo,
6,11,E3,video,
6,12,B6,photo,
7,1,B3,referee,
7,2,B4,referee,
7,3,D6,referee,
7,4,D5,photo,
7,5,A3,keyword,A3
7,6,A5,keyword,A5
7,7,E2,video,
7,8,C4,referee,
7,9,A2,photo,
7,10,E3,video,
7,11,C5,photo,
7,12,B6,photo,
8,1,C4,referee,
8,2,A5,keyword,A5
8,3,C5,photo,
8,4,A3,keyword,A3
8,5,D6,referee,
8,6,B4,referee,
8,7,E2,video,
8,8,B3,referee,
8,9,D5,photo,
8,10,A2,photo,
8,11,E3,video,
8,12,B6,photo,
9,1,B3,referee,
9,2,B4,referee,
9,3,D6,referee,
9,4,A3,keyword,A3
9,5,D5,photo,
9,6,A5,keyword,A5
9,7,C5,photo,
9,8,C4,referee,
9,9,A2,photo,
9,10,E2,video,
9,11,E3,video,
9,12,B6,photo,
10,1,B6,photo,
10,2,D5,photo,
10,3,E3,video,
10,4,C5,photo,
10,5,A2,photo,
10,6,E2,video,
10,7,C4,referee,
10,8,A5,keyword,A5
10,9,A3,keyword,A3
10,10,D6,referee,
10,11,B4,referee,
10,12,B3,referee,
