id,name,location,content,scoringMethod,mapFiles,verifyType
A2,我是大學生,J 大學池前側,拍下全組團體照，背景須同時入鏡大學池及拱橋。,請將照片直接上傳到本對話，小編確認後會解鎖下一關。,A2.jpg,photo
B3,救救菜英文,J 大學池後側花園,由關主提供 5 個英文單字，完成五個該字母為首的英文單字（含拼音）即可過關。,由關主評估完成後告知通關關鍵字，請將關鍵字輸入本對話。,B3.jpg,keyword
C4,瘋狂驗光師,秋海棠標本園,由關主提供有顏色的圖卡，圖卡上的字與圖卡顏色不同，依照關主指示說出答案。,正確後由關主告知通關關鍵字，請將關鍵字輸入本對話。,C4.jpg,keyword
A5,星空之門,第二售票處旁溪頭廣場尾端,全體牽手圍成單圓、手不脫落，由主持人指定任兩位同學分別拿呼拉圈的左右兩側，全隊由呼拉圈中間穿越。,於指定時間內完成後由關主告知通關關鍵字，請將關鍵字輸入本對話。,A5.jpg,keyword
A3,金氏遊戲,第二售票處旁溪頭廣場首端,60 秒記憶所指定之物品，於時間內寫出正確名稱且寫最多者獲勝。,完成後由關主告知通關關鍵字，請將關鍵字輸入本對話。,A3.jpg,keyword
B4,百步穿揚,星光教室（N 溪頭飯店旁）,全體利用腳上的鞋子，依序丟進指定的區域範圍內。,由關主評估完成後告知通關關鍵字，請將關鍵字輸入本對話。,B4-1.jpg;B4-2.jpg,keyword
D6,節奏遊戲,漢光樓旁草地,跟著指示影片唸完提示，並由攝影師錄影，唸到第六頁即可過關。背景須有步道入鏡。,由關主確認後告知通關關鍵字，請將關鍵字輸入本對話。,D6.jpg,keyword
E3,天旋地轉,探索森林區,同一組四位完成即可過關：將裝水的寶特瓶上丟後站立即可過關（請自備礦泉水）。此關無現場關主。,請將完成過程錄影後直接上傳到本對話，小編確認後會解鎖下一關。,E3.jpg,video
B6,勝利之堡,H 青年活動中心石板廣場出發區,到主視覺前拍照。,請將照片直接上傳到本對話，小編確認後會解鎖下一關。,B6-1.jpg;B6-2.jpg;B6-3.jpg,photo
D5,我是好員工,地點不限，安全無虞範圍下就地拍攝即可,用人體排列成「國介」或「禾康」的 LOGO 字形並拍照。,請將照片直接上傳到本對話，小編確認後會解鎖下一關。,,photo
C5,消防安檢員,地點不限，安全無虞範圍下就地拍攝即可,於附近找到 3 組消防栓或滅火器拍照上傳，需至少半組人數入鏡。,請將照片直接上傳到本對話，小編確認後會解鎖下一關。,,photo
E2,愛心小站,地點不限，安全無虞範圍下就地拍攝即可,全體人員錄影並一起說出「我愛國介」或「我愛禾康」，並擺出可愛動作即可過關。,請將影片直接上傳到本對話，小編確認後會解鎖下一關。,,video
